pv,dv,hard,policy,stand,hit,split,double
9,9,True,HIT-STAND-DOUBLE DOWN,-3.5968029126702032,0.023859357232800485,,-4.061283841898773
9,6,True,DOUBLE DOWN-HIT-STAND,0.5739121302142065,0.6807003388785552,,4.26990652841243
9,11,True,HIT-STAND-DOUBLE DOWN,-7.7907646569867,-0.9561116544668892,,-10.543029048630501
9,4,True,DOUBLE DOWN-HIT-STAND,-2.046130379555289,0.373846291595883,,1.7874521210086036
9,8,True,DOUBLE DOWN-HIT-STAND,-3.7051294950615468,0.7075482340774482,,2.455476589267487
9,5,True,DOUBLE DOWN-HIT-STAND,-1.8201671287905996,0.5380072968382857,,5.357440913053832
10,11,True,HIT-SPLIT-DOUBLE DOWN,-8.449528481211122,-0.40884945343036333,-0.992606676517748,-7.619410931872609
10,6,True,DOUBLE DOWN-HIT-STAND,0.32680180064731024,1.2969242419065774,-0.16200154451478235,8.13678728526718
10,10,True,HIT-DOUBLE DOWN-SPLIT,-5.455410281907734,0.22448846289857274,-0.8733972802724848,-0.08318379152536334
10,8,True,DOUBLE DOWN-HIT-SPLIT,-3.9948942350626595,1.02469606736736,-0.4134666089275714,3.2245201492927444
10,4,True,DOUBLE DOWN-HIT-STAND,0.35296351313631286,0.8917925021300186,-0.6546932280835563,5.619033221343934
10,2,True,DOUBLE DOWN-HIT-SPLIT,-1.1792429915494087,1.193833687963398,-0.4382971458426843,4.518033199984431
10,9,True,DOUBLE DOWN-HIT-SPLIT,-3.6461770060113756,0.8900596067422114,-0.7287051403548963,2.4987409304354236
10,5,True,DOUBLE DOWN-HIT-SPLIT,-0.31594699341852917,1.2446461793614014,-0.09540389200886715,6.324764447277294
10,7,True,DOUBLE DOWN-HIT-SPLIT,-3.3128677863093823,1.1914755856310766,-0.650806163831665,4.409600610457996
10,3,True,DOUBLE DOWN-HIT-SPLIT,-2.183481478140798,0.9321496435867966,-0.19526152054232307,5.895037835782092
11,9,True,DOUBLE DOWN-HIT-STAND,-4.584024833446143,0.5939481707152972,,3.4852834607953156
11,2,True,DOUBLE DOWN-HIT-STAND,-0.7390358518307382,1.200339211077575,,5.568070264411247
11,3,True,DOUBLE DOWN-HIT-STAND,-0.5735129547381863,1.1416819200615826,,4.544234114469622
11,7,True,DOUBLE DOWN-HIT-STAND,-4.432343193935477,1.3773238120616875,,5.482930808251443
11,4,True,DOUBLE DOWN-STAND-HIT,1.2312920255134672,1.2242069862312182,,7.10777143419826
11,10,True,DOUBLE DOWN-HIT-STAND,-4.864087488821878,0.5266621792054657,,1.786756956709476
11,5,True,DOUBLE DOWN-HIT-STAND,-0.0220022232779145,1.3700228000988501,,9.040292297885953
11,11,True,HIT-DOUBLE DOWN-STAND,-7.631838178123709,-0.006372566433341157,,-4.342934029541353
11,8,True,DOUBLE DOWN-HIT-STAND,-4.344638329568688,0.9469264914363688,,7.208416418635094
11,6,True,DOUBLE DOWN-HIT-STAND,1.0248829304101588,1.35106131904703,,8.30246915041069
12,8,True,SPLIT-HIT-STAND,-6.570847130265678,-2.8531646537741926,-0.6904912976446985,-15.57015452156154
12,9,True,SPLIT-HIT-STAND,-5.651996774054145,-3.112446409301468,-0.8353622815076,-17.667778755502372
12,10,True,SPLIT-HIT-STAND,-6.5947682614954495,-3.3401219277773424,-1.018440190686212,-18.28563369012369
12,5,True,SPLIT-STAND-HIT,-1.8815139445702525,-2.4825146672462837,-0.4275873219207168,-10.988983285667485
12,5,False,SPLIT-DOUBLE DOWN-HIT,1.2110160980699542,1.2634686555882388,2.37162904710321,1.7240791484307538
12,3,True,SPLIT-STAND-HIT,-3.27505538063412,-3.423224820539534,-0.6857096266458926,-10.335929495544365
12,11,True,SPLIT-HIT-STAND,-8.37251221083858,-3.577452468446881,-1.184841958802221,-19.707892769689444
12,6,True,SPLIT-HIT-STAND,-2.6216109151617495,-2.3124791994490126,-0.30430887328607764,-13.199633123134591
12,2,True,SPLIT-HIT-STAND,-4.463790689625838,-2.6891452167132717,-0.6403945234176283,-12.325796293268628
12,8,False,SPLIT-HIT-STAND,-2.6683036963382487,1.07663364188506,2.024552874778827,-9.344848825724451
12,4,True,SPLIT-HIT-STAND,-2.9484850645821754,-2.7112853720707144,-0.4303057811838699,-10.570715777266587
12,7,True,SPLIT-HIT-STAND,-5.622772095421757,-2.737153235757286,-0.6331431036645507,-13.172230793662454
12,6,False,SPLIT-HIT-DOUBLE DOWN,-1.0494700942847834,1.3357976608110649,2.2133468477764398,1.2564698067339213
12,10,False,SPLIT-HIT-STAND,-5.878038986414305,0.07527564326215452,1.3773748637994423,-12.604629921202159
12,2,False,SPLIT-HIT-STAND,-5.413868676317567,0.9410368959161384,1.8496873181125273,-7.46746454874463
12,11,False,SPLIT-HIT-STAND,-2.1008624779554883,0.2547463578193636,0.9991144250226635,-10.710472622479005
12,4,False,SPLIT-DOUBLE DOWN-HIT,0.02342918214801426,0.5706615107435067,1.8170209559684263,1.3634258561412809
12,3,False,SPLIT-HIT-STAND,-5.219220563721611,0.6033551473250058,2.0440267239475682,-6.897269507905931
12,9,False,SPLIT-HIT-DOUBLE DOWN,-3.930666568547305,0.8027425888558427,1.7625732347965957,-1.0784841604954805
12,7,False,SPLIT-HIT-STAND,-3.151897234628224,0.9304876780604623,2.3810764873976584,-6.970950662929494
13,10,True,HIT-STAND-DOUBLE DOWN,-6.643060216429504,-3.8527931746828608,,-22.4300783568534
